Course Number,Course Title,Subject,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,,,,
COMPLIT 374,Literature and the Body,COMPLIT,Literature,Gender & Sex,Writing Skills,Race,Literary Meaning,,,,
COMPLIT 376,Literature and Ideas,COMPLIT,Literature,Literary History,Freedom,French Revolution,Literary Interpretation,,,,
COMPLIT 422,Comparing World Literatures and Cultures,COMPLIT,Comparative Literature,Culture,Globalization,Interdisciplinary ,Humanities,,,,
COMPLIT 438,Comparative Studies in Film,COMPLIT,Comparative Studies,Film Studies,Variety,Art & Culture,Media,,,,
COMPLIT 492,Comparative Literary Theory,COMPLIT,Juniors,Comparative Studies,Literary Theory,Gender Theory & Ideology,Postmodernism,,,,
COMPLIT 496,Honors Thesis,COMPLIT,Honors,Thesis,Writing Skills,Papers,Comparative Literature,,,,
COMPLIT 497,Translation Studies Undergraduate Capstone,COMPLIT,Translation skills,Translation knowledge,Capstone,Final Project,Applications of Learning,,,,
COMPLIT 498,Directed Reading,COMPLIT,Reading,Faculty Supervisor,Comparative Literature,Liberal Arts,Independent Study,,,,
CSP 101,Comprehensive Studies Program: Our History of Academic Success,CSP 101,CSP,Success Strategies,Entering College,Diversity,Engagement,,,,
CZECH 242,Second-Year Czech,CZECH 242,Czech Language,Vocabulary,Czech Culture,Czech Literature,Speaking,,,,
CZECH 480,Supervised Czech Reading,CZECH 480,Czech Language,Readings,Faculty Supervisor,Czech Culture,Czech Literature,,,,
DATASCI 101,Introduction to Data Science,DATASCI,Mathematical & Computational Skills,Statistical Reasoning,Data Analysis,Probability and Algorithms,Data Visualization,,,,
DATASCI 306,Introduction to Statistical Computing,DATASCI,Comuter programming,Statistic computing,Data Extraction & Manipulation,Statistics,Data Visualization,,,,
DATASCI 315,Statistics and Artificial Intelligence,DATASCI,Artificial Intelligence,Machine Learning,Deep Neural Networks,Statistical Analysis,Data Analysis,,,,
DATASCI 415,Data Mining and Statistical Learning,DATASCI,Data Analysis,Data Visualization,Data Mining,Algorithms,Computations,,,,
DATASCI 451,Bayesian Data Analysis,DATASCI,Bayesian paradigm,Statistical Modeling,Spatial Data Analysis,Bayes rule,Linear & generalized linear models,,,,
DATASCI 531 / STATS 531,Modeling and Analysis of Time Series Data,DATASCI,Time Series Analysis,ARMA models,Frequency-Domain methods,Dynamic Modeling,Economics & Finance,,,,
DIGITAL 200 / WRITING 200,Writing with Digital and Social Media Mini Course,DIGITAL,Writing,Digital Media,Social Media,Multimodal Communication,Media Consumption & Creation,,,,
DIGITAL 201 / WRITING 201,Writing with Digital and Social Media Mini Course,DIGITAL,mini-course,Digital & Social Media,Writing,Rhetorical Strategies,New Technologies,,,,
DIGITAL 202 / AMCULT 202,Digital Culture,DIGITAL,Digital Technology,Contemporary Culture,Culture Production,Race & Class,Gender & Sexuality,,,,
DIGITAL 258,Humanities Themes in Digital Studies,DIGITAL,Research ,Humanities,Digital Studies,Media Studies,Topics,,,,
DIGITAL 333 / EDUC 333,Video Games and Learning,DIGITAL,Video Games,Education,Learning,Fun,Success,,,,
DIGITAL 334 / AMCULT 334 / COMM 334 / FTVM 334,"Race, Gender, Sexuality and U.S. Culture in Video Games",DIGITAL,Video Games,Race & Ethnicity,History,Diversity,Conflict,,,,
DIGITAL 346 / AMCULT 346 / COMM 346 / FTVM 346 / GERMAN 346,Media Matter: From Print to Screen Culture,DIGITAL,German,Writing & Radio,Film & TV,Culture & Identity,Politics,,,,
DIGITAL 354 / FTVM 354,New Media History,DIGITAL,US History,New Media,Computers & the Internet,Consumer Technologies,Socioeconomic Studies,,,,
DIGITAL 355,Topics in Digital Creative Expression,DIGITAL,Creative Expression,Digital Studies,Vatriety,Liberal Arts,New Media,,,,
DIGITAL 357,Digital Studies and the Humanities,DIGITAL,Digital Studies,Humanities,Variety,Liberal Arts,Interdisciplinary,,,,
DIGITAL 359,Digital Studies and the Social Sciences,DIGITAL,Digital Studies,Humanities,Variety,Liberal Arts,Interdisciplinary,,,,
DIGITAL 366,Interdisciplinary Themes in Digital Studies,DIGITAL,Digital Studies,Humanities,Variety,Liberal Arts,Interdisciplinary,,,,
DIGITAL 376 / FTVM 376,New Media Theory,DIGITAL,Digital Media Culture,Media Convergence Theory,Cyberfeminist Analysis,Identity politics,Film Studies,,,,
DIGITAL 410 / AMCULT 410 / SI 410 / STS 410,Ethics and Information Technology,DIGITAL,New Technology,Social Media interaction,Memory,Ethics,Information Use,,,,
DIGITAL 411 / ARCH 411 / UT 411,Becoming Digital,DIGITAL,Digital Literacy,Ethics of Technology,Smart Cities,AI & Virtual Reality,Digital Design,,,,
DUTCH 112 ,Second Special Speaking and Reading Course,DUTCH,Dutch Language,Dutch Literature,Expository Prose,Syntax,Reading,,,,
DUTCH 232,Second-Year Dutch,DUTCH,Dutch Language,Dutch Culture,Reading,Communication,Dutch Literature,,,,
DUTCH 325,Intermediate Surinamese Dutch,DUTCH,Dutch in Suriname,Surinamese Culture,Intercultural Communication,Linguistic Diversity,Sranan Tongo Interaction,,,,
DUTCH 339,Independent Study,DUTCH,Dutch Language,Independent Study,Exploration,Research,Experiential Learning,,,,
DUTCH 351 / JUDAIC 351,Anne Frank in Context,DUTCH,Holocaust Studies,Anti-Semitism and Discrimination,Anne Frank's Diary,Bystander Dynamics,Jewish History in Amsterdam,,,,
EARTH 100,Coral Reefs,EARTH,Coral Reefs,Marine Ecosystem,Biology Ecology,Evolution,Reef Communities,,,,
EARTH 103,Dinosaurs and Other Failures,EARTH,Dinosaurs,Fossil Record,Evolution,Extinction,Prehistoric Life,,,,
EARTH 105,Our Active Earth: Plate Tectonics and Geohazards,EARTH,Plate Tectonics,Geohazards,Earth's History,Continental Drift,Seafloor Spreading,,,,
EARTH 108,When Earth Attacks: The Science Behind Natural Disasters,EARTH,Natural Disasters,Prediction,Science Policy,Geohazards,Disaster Impact,,,,
EARTH 110,Evolving Oceans,EARTH,Climate Change,Seafloor Sediments,Anthropogenic Impact,Ocean History,Marine Environment,,,,
EARTH 112,The Great Lakes,EARTH,Great Lakes,Environment,Hydrology,Invasive Species,Pollution,,,,
EARTH 113,Planets and Moons,EARTH,Planets,Moons,Space Science,Astronomy,Planetary Geology,,,,
EARTH 114,Global Warming,EARTH,Global Warming,Greenhouse Gases,Radiation Balance,Sediment Records,Climate Remediation,,,,
EARTH 115,The Science Behind Michigan's Environmental Justice Issues,EARTH,Environmental Justice,Michigan,Health Disparities,Science Policy,Community Impact,,,,
EARTH 118 / ENVIRON 118,Introductory Earth Science Laboratory,EARTH,Earth Science,Laboratory,Geology,Rocks & Minterals,Fossils,,,,
EARTH 119 / ENVIRON 119,Introduction to Earth Science,EARTH,Earth Science,Geosphere,Biosphere & Atmosphere,Hydrosphere,Geohazards,,,,
EARTH 120 / ENVIRON 120,Geology of National Parks and Monuments,EARTH,Geology,Tectonics,Volcanism,Fossils,Climate Change,,,,
EARTH 122 / CLIMATE 102 / ENVIRON 102,Extreme Weather,EARTH,Physics of Extreme Weather,Thunder & Lightning,Hurricanes & Tornadoes,Atmospheric Analysis,hands-on storm forecasting,,,,
EARTH 132,Earth and Environmental Math,EARTH,Mathematics,Earth Science,Environmental Science,Python Programming,Data Analysis,,,,
EARTH 148,Seminar: Environmental Geology,EARTH,Environmental Geology,Geological Processes,First-Year Seminar,Earth Science,Environmental Issues,,,,
EARTH 151,The Ice Ages: Past and Present,EARTH,Ice Ages,Climate Change,Glaciation,Earth's Climate System,Paleoclimatology,,,,
EARTH 172 / CLIMATE 172 / ENVIRON 111 / GEOG 111,Climate Change and Sustainability: Environmental Challenges of the 21st Century,EARTH,Climate Change,Sustainability,Environmental Impact,Society and Environment,Climate Policy,,,,
EARTH 178 / CHEM 110 / ENVIRON 109,Science and Sustainable Development,EARTH,Sustainable Development,Environmental Science,UN Sustainable Goals,Climate Solutions,Environmental Policy,,,,
EARTH 201 / GEOG 201,Introduction Physical Geography,EARTH,Earth Systems Science,Climate Change,Weather Systems,Biogeography,Plate Tectonics,,,,
EARTH 205,How the Earth Works: The Dynamic Planet,EARTH,Earth Processes,Planetary Dynamics,Geology Introduction,Environmental Systems,Surface Processes,,,,
EARTH 206 / ENVIRON 206,How the Earth Works: The Water Cycle and Environment,EARTH,Water Cycle,Surface Geochemistry,Biogeochemical Systems,Water Exchange,Environmental Science,,,,
EARTH 218 / ENVIRON 228,Introduction to Environmental Science Laboratory,EARTH,Environmental Science,Laboratory Research,Environmental Controversies,Quantitative Data Models,Small Group Learning,,,,
EARTH 219 / ENVIRON 229,Introduction to Environmental Science,EARTH,Environmental Issues,Global Change,Population Ecology,Energy Systems,Environmental Policy,,,,
EARTH 222 / ENVIRON 232,Introductory Oceanography,EARTH,Oceanography,Marine Biology,Marine Chemistry,Marine Geology,Environmental Systems,,,,
EARTH 223 / ENVIRON 233,"Introductory Oceanography, Laboratory",EARTH,Oceanography Lab,Marine Data Analysis,Quantitative Research,Marine Ecosystems,Laboratory Techniques,,,,
EARTH 225,Geology of Michigan and the Great Lakes,EARTH,Great Lakes Geology,Glacial History,Bedrock Geology,Lake Circulation,Paleoclimate Records,,,,
EARTH 230 / ENVIRON 230,"Natural and Environmental Hazards: Uncertainties, Risks, and Forecasts",EARTH,Natural Hazards,Environmental Hazards,Risk Assessment,Disaster Forecasting,Scientific Process,,,,
EARTH 262 / ENVIRON 262,Plants and People,EARTH,Plants and Society,Economic Plants,Environmental Impact,Human History,Plant Uses,,,,
EARTH 295,Navigating an Earth and Environmental Sciences Undergraduate Career,EARTH,Undergraduate Career,Department Resources,Career Preparation,Student Success,Earth Environmental Sciences,,,,
EARTH 299,Independent Study and Research,EARTH,Independent Study,Undergraduate Research,Earth Sciences,Environmental Sciences,Research Methods,,,,
EARTH 305,Earth's Surface and Sediments,EARTH,Sedimentology,Surface Processes,Stratigraphy,Paleoecology,Environmental Analysis,,,,
EARTH 309 / ENVIRON 309,"GIS Explorations of the Past, Present, and Future",EARTH,GIS,Geographic Information Systems,Environmental Analysis,Spatial Science,Humanities and Social Sciences,,,,
EARTH 310 / ENVIRON 310,Toxicology: The Study of Environmental Chemicals and Disease,EARTH,Toxicology,Chemical Exposure,Environmental Health,Disease Etiology,Environmental Chemicals,,,,
EARTH 314,Geophysics,EARTH,Geophysics,Earth's Structure,Plate Tectonics,Earthquake Faulting,Seismology,,,,
EARTH 321 / CLIMATE 321 / SPACE 321,Earth Systems Dynamics,EARTH,Wind Systems,Ocean Currents,Climate System,Change over Time,Climate Studies,,,,
EARTH 323 / CLIMATE 323 / SPACE 323,Earth System Analysis,EARTH,Linear Systems,Harmonic Analysis,Sampling theory,Oceanic Wave propagation,Satellite remote sensing,,,,
EARTH 325 / ENVIRON 325,Environmental Geochemistry,EARTH,Geochemistry,Environmental Science,Lithosphere Hydrosphere Biosphere,Environmental Applications,Climate Change,,,,
EARTH 331 / ENVIRON 332,Climate and Climate Change,EARTH,Climate Change,Climate Science,Environmental Change,Physical Processes,Chemical Processes,,,,
EARTH 350 / CLIMATE 350 / SPACE 350,Atmospheric Thermodynamics,EARTH,Thermodynamics,Atmospheric Stability,Vapor Pressure,Phase Changes,Ideal Gases,,,,
EARTH 351,Earth Structure,EARTH,Lithosphere Structure,Global Tectonics,Folding and Faulting,Stress and Strain,Deformation Mechanisms,,,,
EARTH 352,"Magmatism, Metamorphism, and Plate Tectonics",EARTH,Plate Tectonics,Magmatism and Metamorphism,Crust Formation,Tectonic Evolution,Volcanism and Continental Collision,,,,
EARTH 380 / ENVIRON 380,"Natural Resources, Economics, and the Environment",EARTH,Natural Resources,Economic Impact,Environmental Challenges,Mining and Water Transfers,Fossil Fuels and Minerals,,,,
EARTH 405,Ocean Biogeochemistry,EARTH,Ocean Biogeochemistry,Carbon and Nutrient Cycling,Climate Regulation,Physical Oceanography,Chemical Oceanography,,,,
EARTH 408 / ENVIRON 403,Introduction to GIS in the Earth Sciences,EARTH,Geographic Information Systems,GIS Applications,Earth Sciences,Lab Exercises,Quantitative Software,,,,
EARTH 414 / CLIMATE 414,Weather Systems,EARTH,Weather Systems,Thermodynamics,Atmospheric Dynamics,Planetary Weather Systems,Non-Dimensional Analysis,,,,
EARTH 418,Paleontology,EARTH,Paleontology,Fossils,Evolutionary Biology,Paleoecology,Earth History,,,,
EARTH 419,Paleontology Laboratory,EARTH,Paleontology,Laboratory,Fossils,Systematics,Evolutionary History,,,,
EARTH 427 / ENVIRON 437,Environmental and Technological Applications of Mineralogy,EARTH,Mineralogy,Materials Science,Environmental Applications,Toxic Metals,Geochemistry,,,,
EARTH 432,Plant Paleobiology,EARTH,Evolution,Ecology,Terrestrial Biosphere,Plant Evolution,Earth Science,,,,
EARTH 436,"Field Studies in Stratigraphy, Paleontology, and Sedimentology",EARTH,Geological Fieldwork,Earth Studies,Stratigraphy,Paleontology,Sedimentology,,,,
EARTH 449,Marine Geology,EARTH,Marine Geology,Ocean Sediments,Seafloor Processes,Coastal Geology,Geological Oceanography,,,,
EARTH 451,Introduction to Structure and Tectonics,EARTH,Geological Sciences,Plate Tectonics,Earth's Crust,Geophysics,Structural Geology,,,,
EARTH 452,Paleoceanography,EARTH,Climate change,Earth System Science,Oceanography,Geochemistry,Paleoclimatology,,,,
EARTH 457 / CLIMATE 451 / ENSCEN 451,Atmospheric Dynamics I,EARTH,Atmospheric Circulation,Planetary & Equatorial Waves,Middle Atmosphere dynamics,Tropical Meteorology,Spectral Methods,,,,
EARTH 485,Telling Time: Geochronology and the Story of Earth,EARTH,Geochronology,Earth's History,Geological Time Scales,Mass Extinctions & Environmental Changes,Applied Geology Techniques,,,,
EARTH 489,Geological Sciences Honors,EARTH,Independent Study,Earth Science,Environmental Studies,Honors Research,Thesis,,,,
EARTH 490,Geological Sciences Honors,EARTH,Independent Study,Earth Science,Environmental Studies,Honors Research,Thesis,,,,
EARTH 494,Experiential Learning in the Earth Sciences,EARTH,Experiential Learning,Project based,Internship,Earth Science,Natural Science,,,,
EARTH 495,Methods in Research for Natural Sciences,EARTH,Research,Natural Sciences,Communication,Natural Science,Earth Science,,,,
EARTH 496,Special Topics in the Earth and Environmental Sciences,EARTH,Geological Sciences,Research,Variety,Seminar,Environmental Science,,,,
EARTH 498,Research or Special Work,EARTH,Research,Earth Science,Geological Sciences,Special Work,Studying,,,,
EARTH 499,Research or Special Work,EARTH,Research,Earth Science,Geological Sciences,Special Work,Studying,,,,
EARTH 534,"Seminar in Geophysics, Tectonics, or Structure",EARTH,Geophysics,Tectonics,Structure,Earth Science,Seminar,,,,
EARTH 536,Seminar in Paleobiology,EARTH,Paleontology,Biology,Seminar,Topics,Earth Science,,,,
EARTH 581 / CEE 581,Aquatic Chemistry,EARTH,Environmental Chemistry,Water Quality Analysis,Chemical Speciation Methods,Oxidation-Reduction Reactions,Pollution prevention,,,,
EAS 409 / EEB 487 / ENVIRON 409,Ecology of Fishes,EAS,Fish Ecology,Physiological Responses,Behavioral Responses,Habitat Adaptations,Environmental Constraints,,,,
EAS 444 / ENVIRON 444,Food Literacy for All,EAS,Food Systems,Interdisciplinary Learning,Community Partnerships,Food Crisis,Food Justice,,,,
EAS 475 / EHS 588 / ENVIRON 475,Environmental Law,EAS,Environmental Law,Toxic Tort Actions,Environmental Policy,Legal Processes,Pollution Control,,,,
EAS 476 / EEB 476 / ENVIRON 476,Ecosystem Ecology,EAS,Ecosystem Theory,Environmental Management,Restoration Ecology,Ecological Techniques,Terrestrial Ecology,,,,
EAS 531 / ENVIRON 411,Principles of Geographic Information Systems,EAS,GIS,Environmental Science,Spatial Analysis,ArcGIS & QGIS,Lab Work,,,,
EAS 541 / ENVIRON 441,Remote Sensing of Environment,EAS,Remote Sensing,Environmental Research,Geospatial Data,Climate Change,Environmental Monitoring,,,,
ECON 101,Principles of Economics I,ECON,Microeconomics,Market Function,Income Distribution,International Trade,Environmental Economics,,,,
ECON 102,Principles of Economics II,ECON,Macroeconomics,GDP,Unemployment,Inflation,Economic Growth,,,,
ECON 108,Introductory Microeconomics Workshop,ECON,Microeconomics,Workshop,First-Year Students,Enrichment,Workshop Topics,,,,
ECON 208,Intermediate Microeconomics Workshop,ECON,Intermediate Microeconomics,Workshop,Economics Enrichment,Student Topics,Workshop Learning,,,,
ECON 210,Math for Economics,ECON,Mathematics,Economic Applications,Functions,Logarithms,Polynomials,,,,
ECON 251,Introduction to Statistics and Econometrics II,ECON,Statistics,Econometrics,Multiple Regression,Empirical Literature,Tabular Analysis,,,,
ECON 259,Excel in Economics and Business Analytics,ECON,Excel,Business Analytics,Decision Problems,Finance,Consulting,,,,
ECON 310,Money and Banking,ECON,Money Banking,Monetary Policy,Interest Rates,Economic Activity,Finance,,,,
ECON 320,Survey of Labor Economics,ECON,Labor Economics,Labor Supply,Labor Demand,Wage Differentials,Discrimination,,,,
ECON 325,Economics of Education,ECON,Education Economics,Educational Investment,Policy Debate,Teacher Incentives,School Choice,,,,
ECON 340,International Economics,ECON,International Economics,Policy Issues,Theory,Trade,Global Economy,,,,
ECON 395,Topics in Microeconomics and Microeconomic Policy,ECON,Microeconomics,Policy Applications,Current Topics,Real-World Issues,Microeconomic Theory,,,,
ECON 396,Topics in Macroeconomics and Macroeconomic Policy,ECON,Macroeconomics,Policy Issues,Current Topics,Economic Growth,Inflation,,,,
ECON 398,Strategy,ECON,Strategic Thinking,Game Theory,Business Bargaining,Voting,Theory Applications,,,,
ECON 401,Intermediate Microeconomic Theory,ECON,Microeconomic Theory,Market Interaction,Households,Firms,Normative Evaluation,,,,
ECON 402,Intermediate Macroeconomic Theory,ECON,Macroeconomic Theory,National Income,Inflation,Employment,Policy Impact,,,,
ECON 407,Behavioral Economics,ECON,Behavioral Economics,Decision Making,Psychology,Rationality,Empirical Analysis,,,,
ECON 409,Game Theory,ECON,Game Theory,Strategic Interaction,Bargaining,Auctions,Competition,,,,
ECON 420,Topics in Labor Economics,ECON,Labor Economics,Advanced Topics,Workforce,Policy Issues,Economic Analysis,,,,
ECON 421,Labor Economics I,ECON,Labor Economics,Workforce,Labor Market,Policy Analysis,Advanced Economics,,,,
ECON 432,Government Regulation of Industry,ECON,Regulation,Antitrust Policy,Industry Economics,Public Enterprise,Economic Performance,,,,
ECON 435,Financial Economics,ECON,Financial Economics,Interest Rates,Capital Markets,Financial Instruments,Derivatives,,,,
ECON 441,International Trade Theory,ECON,International Trade,Trade Theory,Market Structures,Trade Policy,Global Economy,,,,
ECON 442,International Finance,ECON,International Finance,Foreign Exchange,Balance of Payments,Monetary Policy,Macroeconomics,,,,
ECON 451,Intermediate Introduction to Statistics and Econometrics I,ECON,Statistics,Econometrics,Probability,Hypothesis Testing,Regression Analysis,,,,
ECON 452,Intermediate Introduction to Statistics and Econometrics II,ECON,Econometrics,Linear Model,Estimation,Empirical Research,Data Analysis,,,,
ECON 482,Government Revenues,ECON,Government Revenue,Taxation,Revenue Policies,Economic Analysis,Social Objectives,,,,
ECON 485,Law and Economics,ECON,Law and Economics,Legal Analysis,Economic Policy,Market Regulation,Policy Evaluation,,,,
ECON 487,Urban Economics,ECON,Urban Economics,Cities,Land Markets,Housing Policy,Transportation,,,,
ECON 490,Topics in Microeconomic,ECON,Microeconomics,Specialized Topics,Economic Theory,Market Analysis,Advanced Economics,,,,
ECON 495,Seminar in Economics,ECON,Economics Seminar,Advanced Topics,Research Methods,Economic Theory,Discussion,,,,
ECON 497,Economics Honors Seminar,ECON,Economics Honors,Research Writing,Presentation Skills,Graduate Preparation,Career Development,,,,
ECON 498,Honors Independent Research,ECON,Honors Research,Independent Study,Economic Research,Thesis Writing,Faculty Mentorship,,,,
ECON 499,Independent Research,ECON,Independent Research,Economic Research,Faculty Supervision,Independent Study,Career Development,,,,
EDUC 325 / ALA 324,Facilitation in Community Settings,EDUC,Facilitation,Community Engagement,Race Dialogues,High School Education,Practicum,,,,
EDUC 333 / DIGITAL 333,Video Games and Learning,EDUC,Video Games,Education,Learning,Fun,Success,,,,
EDUC 390 / ELI 390 / LING 390 / RCSTP 390,Community-Engaged Learning in ESL Teaching Contexts,EDUC,ESL Teaching,Community Engagement,Language Learning,Teaching Methods,Experiential Learning,,,,
EDUC 462 / MENAS 462,Web Based Mentorship: Learning Through Character Play,EDUC,Mentorship,Character Play,Simulation-Based Learning,History Education,Experiential Learning,,,,
EDUC 463 / MENAS 463,Web Based Mentorship: Arab-Israeli Conflict Simulation,EDUC,Mentorship,Arab-Israeli Conflict,Simulation-Based Learning,Diplomacy,International Politics,,,,
EEB 300,Undergraduate Research,EEB,Independent Research,Biology Lab Requirement,Faculty Mentorship,Biology Concentration,,,,,
EEB 325 / CMPLXSYS 325,"Memes, Measles and Misinformation",EEB,Contagious Processes,Disease Transmission,Information & Misinformation,Disinformation,Transmission Systems,,,,
EEB 362 / ANTHRBIO 362 / ENVIRON 362,Primate Evolutionary Ecology,EEB,Primate Ecology,Evolutionary history,The Environment,Social groups & populations,Biology,,,,
EEB 372 / ENVIRON 372,General Ecology Laboratory,EEB,Ecology,Laboratory Skills,Field Experiments,Hypothesis Testing,Statistical Analysis,,,,
EEB 390,Evolution,EEB,Evolutionary Biology,Population Genetics,Phylogenetics,Molecular Evolution,Macroevolution,,,,
EEB 391,Evolutionary Processes and Macroevolution,EEB,Evolutionary Biology,Population Genetics,Molecular Evolution,Speciation,Macroevolution,,,,
EEB 400,Advanced Research,EEB,Independent Research,Biology,Advanced Topics,Experimental Design,Research Methods,,,,
EEB 401,Advanced Topics in Biology,EEB,Advanced Biology,Specialized Topics,Research-Based Learning,Evolutionary Biology,Biology Majors,,,,
EEB 410,EEB Capstone Seminar,EEB,Ecology,Evolutionary Biology,Senior Seminar,Biology Issues,Human Affairs,,,,
EEB 420,Plant Evolution,EEB,Plant Evolution,Phylogenetics,Genomics,Developmental Evolution,Biotic Interactions,,,,
EEB 429,Introduction to Statistical Model Building in R,EEB,Data Analysis,Statistical Modeling,R Programming,Biology Research,Quantitative Methods,,,,
EEB 442,Biology of Insects,EEB,Insect Biology,Evolution,Embryology,Physiology,Behavior,,,,
EEB 446,Microbial Ecology,EEB,Microbial Ecology,Microbial Diversity,Environmental Interactions,Biology of Bacteria,Archaea,,,,
EEB 450,Biology of Amphibians and Reptiles,EEB,Amphibians,Evolution,Behavior,Ecology,Field Methods,Life History,,,
EEB 487 / EAS 409 / ENVIRON 409,Ecology of Fishes,EEB,Fish Ecology,Physiology,Behavior,Adaptations,Environmental Factors,,,,
EEB 499 / MCDB 499,Responsible Conduct of Research and Scholarship in Biology,EEB,Research Ethics,Biology,Responsible Conduct,Academic Integrity,Research Methods,,,,
EECS 110,Discover Computer Science,EECS,Computer Science,Programming Concepts,Introduction to Python,Interdisciplinary Applications,No Prior Experience,,,,
EECS 183,Elementary Programming Concepts,EECS,Programming Fundamentals,Algorithms,Flow Control,Data Structures,Debugging,,,,
EECS 201,Computer Science Pragmatics,EECS,Computer Usage,Scripting,Version Control,Debugging Tools,Makefiles,,,,
EECS 203,Discrete Math,EECS,Discrete Mathematics,Logic,Set Theory,Combinatorics,Graph Theory,,,,
EECS 270,Introduction to Logic Design,EECS,Digital Design,Boolean Algebra,Logic Circuits,Sequential Circuits,FPGAs,,,,
EECS 280,Programming and Introductory Data Structures,EECS,Algorithm Development,Programming Techniques,Data Structures,Recursion,Abstract Data Types,,,,
EECS 281,Data Structures and Algorithms,EECS,Algorithm Analysis,Data Structures,Sorting Algorithms,Graph Theory,Recursive Algorithms,,,,
EECS 367 / ROB 380,Introduction to Autonomous Robotics,EECS,Autonomous Robotics,Control Systems,3D Modeling,Path Planning,Robotic Software,,,,
EECS 370,Introduction to Computer Organization,EECS,Computer Organization,Assembly Language,Processor Design,Caching,Memory Management,,,,
EECS 373,Introduction to Embedded System Design,EECS,Embedded Systems,Hardware Design,Memory Mapped I/O,Sensors and Actuators,Team Design Projects,,,,
EECS 376,Foundations of Computer Science,EECS,Theory of Computation,Finite State Machines,Turing Machines,Computational Complexity,Cryptography,,,,
EECS 388,Introduction to Computer Security,EECS,Computer Security,Cryptography,Forensics,Network Security,Threats and Defenses,,,,
EECS 390,Programming Paradigms,EECS,Programming Paradigms,Functional Programming,Object-Oriented Programming,Declarative Programming,Advanced Techniques,,,,
EECS 398,Special Topics,EECS,Special Topics,Advanced Electives,Research Topics,Varied Content,Repeatable for Credit,,,,
EECS 427,Very Large Scale Integrated Design I,EECS,VLSI Design,Circuit Simulation,Power Analysis,CMOS Logic,Processor Design,,,,
EECS 440,Extended Reality for Social Impact,EECS,Extended Reality,Augmented Reality,Virtual Reality,Social Impact,Agile Project Management,,,,
EECS 441,Mobile App Development for Entrepreneurs,EECS,Mobile App Development,Entrepreneurship,Software Engineering,Marketing Mobile Apps,Hands-on Learning,,,,
EECS 442,Computer Vision,EECS,Computer Vision,2D Vision,3D Vision,Image Processing,Object Recognition,,,,
EECS 443,Senior Thesis,EECS,Senior Thesis,Research Plan,Thesis Presentation,Faculty Collaboration,Independent Research,,,,
EECS 445,Introduction to Machine Learning,EECS,Machine Learning,Supervised Learning,Unsupervised Learning,Neural Networks,Clustering Algorithms,,,,
EECS 449,Conversational Artificial Intelligence,EECS,Conversational AI,Natural Language Processing,Dialogue Management,Response Generation,Virtual Assistants,,,,
EECS 470,Computer Architecture,EECS,Computer Architecture,Processor Design,Memory Hierarchies,Parallel Processing,Power and Performance,,,,
EECS 471,Applied Parallel Programming with GPUs,EECS,Parallel Programming,GPU Programming,CUDA,Parallel Algorithms,Programming Models,,,,
EECS 475,Introduction to Cryptography,EECS,Cryptography,Encryption,Shannon Theory,Public Key Hash Functions,Digital Signatures,,,,
EECS 476,Data Mining,EECS,Data Mining,Big Data,Clustering,Classification,Dimensionality Reduction,,,,
EECS 477,Introduction to Algorithms,EECS,Algorithms,Algorithm Design,Graph Search,Dynamic Programming,Algorithm Analysis,,,,
EECS 481,Software Engineering,EECS,Software Engineering,Software Systems,Design Methodologies,Term Project,Large-Scale Systems,,,,
EECS 482,Introduction to Operating Systems,EECS,Operating Systems,Concurrency,Synchronization,Memory Management,File Systems,,,,
EECS 483,Compiler Construction,EECS,Compiler Construction,Lexical Scanning,Parsing,Code Generation,Semantic Analysis,,,,
EECS 484,Database Management Systems,EECS,Database Systems,SQL,Query Optimization,Transaction Management,Normalization,,,,
EECS 485,Web Systems,EECS,Web Systems,Client-Server Protocols,Security,Distributed Systems,Scalable Applications,,,,
EECS 486,Information Retrieval and Web Search,EECS,Information Retrieval,Search Engines,Indexing,Crawling,Textual Data,,,,
EECS 487,Introduction to Natural Language Processing,EECS,Natural Language Processing,Syntax and Parsing,Discourse Analysis,Sentiment Analysis,Machine Translation,,,,
EECS 489,Computer Networks,EECS,Computer Networks,Internet Protocols,Flow Control,Sockets,Cloud Networks,,,,
EECS 491,Introduction to Distributed Systems,EECS,Distributed Systems,Scalability,Replication,Concurrency Control,Consistency Models,,,,
EECS 492,Introduction to Artificial Intelligence,EECS,Artificial Intelligence,Search,Knowledge Representation,Planning,Machine Learning,,,,
EECS 493,User Interface Development,EECS,User Interfaces,Interaction Design,Usability Evaluation,Object-Oriented Programming,Interface Programming,,,,
EECS 494,Computer Game Design and Development,EECS,Game Design,Game Engines,Agile Development,Iterative Design,Graphics Programming,,,,
EECS 495,Accessible Computing,EECS,Accessible Computing,Disability Technology,Human-Machine Interfaces,Design Methods,Inclusive Technology,,,,
EECS 496,Major Design Experience-Professionalism,EECS,Design Principles,Teamwork,Entrepreneurship,Project Management,Ethics and Awareness,,,,
EECS 497,Human-Centered Software Design and Development,EECS,User-Centered Design,Prototyping,Project Management,Customer Discovery,Testing Strategies,,,,
EECS 498,Special Topics,EECS,Special Topics,Current Interest,Faculty-Selected,Research-Driven,Course Variability,,,,
EECS 499,Advanced Directed Study,EECS,Research Projects,Directed Study,EECS Special Interests,Design Problems,Independent Study,,,,
